level,hanzi,pinyin,meaning
4,爱,ài,愛する
4,八,bā,8
4,爸爸,bàba,お父さん
4,杯子,bēizi,コップ
4,北京,běijīng,北京
4,本,běn,〜冊（本を数える）
4,不客气,bú kèqi,どういたしまして
4,菜,cài,料理、野菜
4,茶,chá,お茶
4,吃,chī,食べる
4,出租车,chūzūchē,タクシー
4,打电话,dǎ diànhuà,電話をかける
4,大,dà,大きい
4,的,de,〜の
4,点,diǎn,〜時
4,电脑,diànnǎo,コンピュータ
4,电视,diànshì,テレビ
4,电影,diànyǐng,映画
4,东西,dōngxi,もの
4,都,dōu,すべて、みんな
4,读,dú,読む
4,对不起,duìbuqǐ,すみません
4,多,duō,多い
4,多少,duōshao,どれくらい
4,儿子,érzi,息子
4,二,èr,2
4,饭店,fàndiàn,ホテル、レストラン
4,飞机,fēijī,飛行機
4,分钟,fēnzhōng,〜分間
4,高兴,gāoxìng,うれしい
4,个,gè,〜個（人や物を数える）
4,工作,gōngzuò,仕事
4,狗,gǒu,犬
4,汉语,Hànyǔ,中国語
4,好,hǎo,良い
4,号,hào,〜日、〜番
4,喝,hē,飲む
4,和,hé,〜と
4,很,hěn,とても
4,后面,hòumiàn,後ろ
4,回,huí,帰る、戻る
4,会,huì,〜できる
4,几,jǐ,いくつの
4,家,jiā,家、家庭
4,叫,jiào,〜という名前だ
4,今天,jīntiān,今日
4,九,jiǔ,9
4,看,kàn,見る、読む
4,看见,kànjiàn,見える
4,块,kuài,〜元（お金の単位）
4,来,lái,来る
4,老师,lǎoshī,先生
4,了,le,(完了や変化を表す)
4,冷,lěng,寒い
4,里,lǐ,中
4,零,líng,0
4,六,liù,6
4,妈妈,māma,お母さん
4,吗,ma,(疑問を表す)
4,买,mǎi,買う
4,猫,māo,猫
4,没关系,méi guānxi,大丈夫、かまわない
4,没有,méiyǒu,ない、持っていない
4,米饭,mǐfàn,ご飯
4,明天,míngtiān,明日
4,名字,míngzi,名前
4,哪,nǎ,どの
4,哪儿,nǎr,どこ
4,那,nà,あれ、あそこ
4,呢,ne,(疑問や状態を表す)
4,能,néng,〜できる
4,你,nǐ,あなた
4,年,nián,年
4,女儿,nǚ'ér,娘
4,朋友,péngyou,友達
4,漂亮,piàoliang,美しい、きれいな
4,苹果,píngguǒ,りんご
4,七,qī,7
4,钱,qián,お金
4,前面,qiánmiàn,前
4,请,qǐng,どうぞ〜してください
4,去,qù,行く
4,热,rè,暑い
4,人,rén,人
4,认识,rènshi,知り合いになる
4,三,sān,3
4,商店,shāngdiàn,店
4,上,shàng,上
